MET2013	metropolitanArea
0	Not in identifiable area
10420	Akron, OH
10580	Albany-Schenectady-Troy, NY
10740	Albuquerque, NM
10780	Alexandria, LA
10900	Allentown-Bethlehem-Easton, PA-NJ
11020	Altoona, PA
11100	Amarillo, TX
11260	Anchorage, AK
11460	Ann Arbor, MI
11500	Anniston-Oxford-Jacksonville, AL
11700	Asheville, NC
12020	Athens-Clarke County, GA
12060	Atlanta-Sandy Springs-Roswell, GA
12100	Atlantic City-Hammonton, NJ
12220	Auburn-Opelika, AL
12260	Augusta-Richmond County, GA-SC
12420	Austin-Round Rock, TX
12540	Bakersfield, CA
12580	Baltimore-Columbia-Towson, MD
12620	Bangor, ME
12700	Barnstable Town, MA
12940	Baton Rouge, LA
12980	Battle Creek, MI
13140	Beaumont-Port Arthur, TX
13380	Bellingham, WA
13460	Bend-Redmond, OR
13740	Billings, MT
13780	Binghamton, NY
13820	Birmingham-Hoover, AL
13900	Bismarck, ND
13980	Blacksburg-Christiansburg-Radford, VA
14010	Bloomington, IL
14020	Bloomington, IN
14260	Boise City, ID
14460	Boston-Cambridge-Newton, MA-NH
14740	Bremerton-Silverdale, WA
14860	Bridgeport-Stamford-Norwalk, CT
15180	Brownsville-Harlingen, TX
15380	Buffalo-Cheektowaga-Niagara Falls, NY
15500	Burlington, NC
15540	Burlington-South Burlington, VT
15940	Canton-Massillon, OH
15980	Cape Coral-Fort Myers, FL
16580	Champaign-Urbana, IL
16620	Charleston, WV
16700	Charleston-North Charleston, SC
16740	Charlotte-Concord-Gastonia, NC-SC
16820	Charlottesville, VA
16860	Chattanooga, TN-GA
16980	Chicago-Naperville-Elgin, IL-IN-WI
17020	Chico, CA
17140	Cincinnati, OH-KY-IN
17300	Clarksville, TN-KY
17460	Cleveland-Elyria, OH
17660	Coeur d'Alene, ID
17780	College Station-Bryan, TX
17820	Colorado Springs, CO
17860	Columbia, MO
17900	Columbia, SC
18140	Columbus, OH
18580	Corpus Christi, TX
19100	Dallas-Fort Worth-Arlington, TX
19300	Daphne-Fairhope-Foley, AL
19340	Davenport-Moline-Rock Island, IA-IL
19380	Dayton, OH
19460	Decatur, AL
19500	Decatur, IL
19660	Deltona-Daytona Beach-Ormond Beach, FL
19740	Denver-Aurora-Lakewood, CO
19780	Des Moines-West Des Moines, IA
19820	Detroit-Warren-Dearborn, MI
20100	Dover, DE
20500	Durham-Chapel Hill, NC
