MET2013,MSATitle,hhNonEngParEngChld,hhTotal,pctNonEngParEngChld
29700,"Laredo, TX",29919,77865,38.4
32580,"McAllen-Edinburg-Mission, TX",90980,248086,36.7
15180,"Brownsville-Harlingen, TX",37481,128102,29.3
21340,"El Paso, TX",69406,283052,24.5
20940,"El Centro, CA",12881,54987,23.4
47300,"Visalia-Porterville, CA",33385,143735,23.2
32900,"Merced, CA",19485,86140,22.6
41500,"Salinas, CA",32122,163134,19.7
49740,"Yuma, AZ",15416,78877,19.5
49420,"Yakima, WA",16319,86595,18.8
33700,"Modesto, CA",33419,178890,18.7
36220,"Odessa, TX",10132,54254,18.7
41940,"San Jose-Sunnyvale-Santa Clara, CA",122722,676618,18.1
44700,"Stockton-Lodi, CA",44048,245658,17.9
31460,"Madera, CA",9439,52884,17.8
12540,"Bakersfield, CA",53198,299962,17.7
23420,"Fresno, CA",57280,324639,17.6
31080,"Los Angeles-Long Beach-Anaheim, CA",778151,4577875,17
40140,"Riverside-San Bernardino-Ontario, CA",241207,1452394,16.6
29740,"Las Cruces, NM",13737,83544,16.4
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",318610,2200530,14.5
26420,"Houston-The Woodlands-Sugar Land, TX",348220,2401823,14.5
25260,"Hanford-Corcoran, CA",8236,57807,14.2
42200,"Santa Maria-Santa Barbara, CA",22929,165804,13.8
37100,"Oxnard-Thousand Oaks-Ventura, CA",38833,283441,13.7
33260,"Midland, TX",7681,58817,13.1
34900,"Napa, CA",6820,52721,12.9
41700,"San Antonio-New Braunfels, TX",105912,826669,12.8
41740,"San Diego-Carlsbad, CA",149123,1215240,12.3
23580,"Gainesville, GA",8086,66217,12.2
19100,"Dallas-Fort Worth-Arlington, TX",319440,2612052,12.2
41860,"San Francisco-Oakland-Hayward, CA",215952,1782922,12.1
49700,"Yuba City, CA",7443,61361,12.1
18580,"Corpus Christi, TX",21984,190142,11.6
29820,"Las Vegas-Henderson-Paradise, NV",93028,806025,11.5
35620,"New York-Newark-Jersey City, NY-NJ-PA",878661,7620740,11.5
46700,"Vallejo-Fairfield, CA",17474,160557,10.9
36740,"Orlando-Kissimmee-Sanford, FL",96151,893030,10.8
14860,"Bridgeport-Stamford-Norwalk, CT",37750,358051,10.5
48300,"Wenatchee, WA",4771,45319,10.5
45940,"Trenton, NJ",15103,146480,10.3
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",228287,2284469,10
38060,"Phoenix-Mesa-Scottsdale, AZ",173128,1770016,9.8
40900,"Sacramento--Roseville--Arden-Arcade, CA",84285,869112,9.7
34940,"Naples-Immokalee-Marco Island, FL",14213,147031,9.7
12420,"Austin-Round Rock, TX",79595,824565,9.7
16980,"Chicago-Naperville-Elgin, IL-IN-WI",343799,3653879,9.4
42100,"Santa Cruz-Watsonville, CA",10063,109010,9.2
12100,"Atlantic City-Hammonton, NJ",9204,101400,9.1
42220,"Santa Rosa, CA",17647,197724,8.9
46060,"Tucson, AZ",37194,434678,8.6
46520,"Urban Honolulu, HI",30082,349354,8.6
39900,"Reno, NV",15696,188302,8.3
41660,"San Angelo, TX",4077,49019,8.3
11100,"Amarillo, TX",8423,102940,8.2
10740,"Albuquerque, NM",28743,356909,8.1
41620,"Salt Lake City, UT",34222,427020,8
20700,"East Stroudsburg, PA",4592,59381,7.7
42660,"Seattle-Tacoma-Bellevue, WA",121002,1567934,7.7
29460,"Lakeland-Winter Haven, FL",18619,248055,7.5
39340,"Provo-Orem, UT",13584,181318,7.5
39740,"Reading, PA",12387,167839,7.4
19740,"Denver-Aurora-Lakewood, CO",84838,1181709,7.2
14460,"Boston-Cambridge-Newton, MA-NH",145759,2016834,7.2
44140,"Springfield, MA",17264,244329,7.1
42140,"Santa Fe, NM",4595,64833,7.1
47380,"Waco, TX",7038,99617,7.1
15980,"Cape Coral-Fort Myers, FL",19366,286437,6.8
17780,"College Station-Bryan, TX",6443,95315,6.8
35300,"New Haven-Milford, CT",24175,358679,6.7
12060,"Atlanta-Sandy Springs-Roswell, GA",145262,2182644,6.7
21140,"Elkhart-Goshen, IN",5068,75255,6.7
10900,"Allentown-Bethlehem-Easton, PA-NJ",22715,344766,6.6
38940,"Port St. Lucie, FL",12036,185868,6.5
39300,"Providence-Warwick, RI-MA",45398,695349,6.5
31180,"Lubbock, TX",8149,125602,6.5
25540,"Hartford-West Hartford-East Hartford, CT",33063,519470,6.4
39580,"Raleigh, NC",34677,543834,6.4
38900,"Portland-Vancouver-Hillsboro, OR-WA",62989,983993,6.4
45300,"Tampa-St. Petersburg-Clearwater, FL",78948,1262023,6.3
22220,"Fayetteville-Springdale-Rogers, AR-MO",12203,195424,6.2
46340,"Tyler, TX",4976,83476,6
22380,"Flagstaff, AZ",3671,62047,5.9
49340,"Worcester, MA-CT",22983,390357,5.9
36260,"Ogden-Clearfield, UT",10991,193373,5.7
29540,"Lancaster, PA",12025,213205,5.6
25500,"Harrisonburg, VA",3143,56656,5.5
