STATEFIP,PUMA,PUMAName,State,hhNonEngParEngChld,hhTotal,pctNonEngParEngChld
06,03745,"Los Angeles County (Central)--LA City (Southeast/East Vernon) PUMA, California",California,13059,30061,43.4
06,03742,"Los Angeles County (Central)--Huntington Park City, Florence-Graham & Walnut Park PUMA; California",California,13655,31918,42.8
48,06302,"South Texas Development Council--Webb County (North & East)--Laredo City (Outer) PUMA, Texas",Texas,16485,38695,42.6
48,06802,"Hidalgo County (East)--Alamo & Donna Cities PUMA, Texas",Texas,12857,30296,42.4
06,03741,"Los Angeles County (Central)--Bell Gardens, Bell, Maywood, Cudahy & Commerce Cities PUMA; California",California,15242,36680,41.6
48,06803,"Hidalgo County (South Central)--Pharr, San Juan & Hidalgo Cities PUMA; Texas",Texas,15096,36783,41
48,06806,"Hidalgo County (Southwest)--Mission City PUMA, Texas",Texas,12795,32576,39.3
06,03752,"Los Angeles County (South)--South Gate & Lynwood Cities PUMA, California",California,17274,44123,39.1
48,06807,"Hidalgo County (North & West) PUMA, Texas",Texas,12753,33674,37.9
48,06801,"Hidalgo County (Southeast)--Weslaco & Mercedes Cities PUMA, Texas",Texas,11736,31068,37.8
04,00123,"Phoenix City--Maryvale (West) PUMA, Arizona",Arizona,12645,33871,37.3
06,03743,"Los Angeles County (Central)--East Los Angeles PUMA, California",California,11559,30950,37.3
04,00122,"Phoenix City--Maryvale (East) PUMA, Arizona",Arizona,11458,31125,36.8
06,05916,"Orange County (Central)--Santa Ana City (West) PUMA, California",California,13077,35529,36.8
06,03751,"Los Angeles County (South Central)--LA City (South Central/Watts) PUMA, California",California,14218,39918,35.6
48,06804,"Hidalgo County (North Central)--Edinburg City PUMA, Texas",Texas,12724,36758,34.6
06,05917,"Orange County (Central)--Santa Ana City (East) PUMA, California",California,14975,43583,34.4
48,06703,"Cameron County (South)--Brownsville City (Central) PUMA, Texas",Texas,14965,43654,34.3
48,06301,"South Texas Development Council (North)--Webb County--Laredo City (Central) PUMA, Texas",Texas,13434,39170,34.3
